Power,Fuel,Cost,Efficiency,Lifetime,Power Code
[433940.39884902],[0.],[2.65421688e+09],[433940.39884902],[10.],"(0, 0, 3, 1, 2, 0, 1)"
[433940.39884902],[0.],[3.63299597e+09],[433940.39884902],[10.],"(0, 0, 3, 1, 2, 0, 2)"
[433940.39884902],[0.],[1.85339762e+09],[433940.39884902],[10.],"(0, 0, 3, 1, 2, 1, 0)"
[433940.39884902],[0.],[2.65421688e+09],[433940.39884902],[10.],"(0, 0, 3, 1, 2, 1, 1)"
[433940.39884902],[0.],[3.63299597e+09],[433940.39884902],[10.],"(0, 0, 3, 1, 2, 1, 2)"
[433940.39884902],[0.],[1.85339762e+09],[433940.39884902],[10.],"(0, 0, 3, 1, 3, 0, 0)"
[433940.39884902],[0.],[2.65421688e+09],[433940.39884902],[10.],"(0, 0, 3, 1, 3, 0, 1)"
[433940.39884902],[0.],[3.63299597e+09],[433940.39884902],[10.],"(0, 0, 3, 1, 3, 0, 2)"
[433940.39884902],[0.],[1.85339762e+09],[433940.39884902],[10.],"(0, 0, 3, 1, 3, 1, 0)"
[433940.39884902],[0.],[2.65421688e+09],[433940.39884902],[10.],"(0, 0, 3, 1, 3, 1, 1)"
[433940.39884902],[0.],[3.63299597e+09],[433940.39884902],[10.],"(0, 0, 3, 1, 3, 1, 2)"
[433830.39884902],[0.],[7.88648767e+09],[433830.39884902],[10.],"(0, 1, 0, 0, 0, 0, 0)"
[433830.39884902],[0.],[6.87700932e+09],[433830.39884902],[10.],"(0, 1, 0, 0, 0, 0, 1)"
[433830.39884902],[0.],[6.90586102e+09],[433830.39884902],[10.],"(0, 1, 0, 0, 0, 0, 2)"
[433830.39884902],[0.],[7.23463244e+09],[433830.39884902],[10.],"(0, 1, 0, 0, 0, 1, 0)"
[433830.39884902],[0.],[6.40777448e+09],[433830.39884902],[10.],"(0, 1, 0, 0, 0, 1, 1)"
[433830.39884902],[0.],[6.53245359e+09],[433830.39884902],[10.],"(0, 1, 0, 0, 0, 1, 2)"
[433830.39884902],[0.],[2.62708442e+09],[433830.39884902],[10.],"(0, 1, 0, 0, 1, 0, 0)"
[433830.39884902],[0.],[3.42587651e+09],[433830.39884902],[10.],"(0, 1, 0, 0, 1, 0, 1)"
[433830.39884902],[0.],[4.40459807e+09],[433830.39884902],[10.],"(0, 1, 0, 0, 1, 0, 2)"
[433830.39884902],[0.],[2.50579105e+09],[433830.39884902],[10.],"(0, 1, 0, 0, 1, 1, 0)"
[433830.39884902],[0.],[3.30478764e+09],[433830.39884902],[10.],"(0, 1, 0, 0, 1, 1, 1)"
[433830.39884902],[0.],[4.283515e+09],[433830.39884902],[10.],"(0, 1, 0, 0, 1, 1, 2)"
[433830.39884902],[0.],[2.58550313e+10],[433830.39884902],[10.],"(0, 1, 0, 0, 2, 0, 0)"
[433830.39884902],[0.],[1.99507161e+10],[433830.39884902],[10.],"(0, 1, 0, 0, 2, 0, 1)"
[433830.39884902],[0.],[1.74299386e+10],[433830.39884902],[10.],"(0, 1, 0, 0, 2, 0, 2)"
