%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
72709.320,297.060,354.739,133.711,-0.007,0.001,5.000
72717.383,297.063,354.818,133.871,0.009,0.001,5.000
72713.351,297.060,354.739,133.871,-0.007,-0.010,5.000
72709.320,297.060,354.818,133.871,-0.024,0.001,5.000
72709.320,297.061,354.739,134.031,-0.007,0.001,5.000
72705.289,297.061,354.739,134.351,-0.007,-0.010,5.000
72709.320,297.060,354.659,133.871,-0.007,0.001,5.000
72709.320,297.058,354.739,133.711,-0.007,0.011,5.000
72705.289,297.060,354.659,133.871,0.025,-0.021,5.000
72705.289,297.061,354.739,133.871,0.025,0.011,5.000
72713.351,297.060,354.659,134.031,-0.007,0.001,5.000
72709.320,297.058,354.818,133.711,0.009,0.001,5.000
72713.351,297.058,354.659,133.711,0.009,0.001,5.000
72697.226,297.061,354.580,133.711,0.009,-0.010,5.000
72717.383,297.058,354.739,133.711,-0.007,0.001,5.000
72701.257,297.060,354.739,133.871,-0.007,0.001,5.000
72709.320,297.058,354.739,134.031,-0.007,0.011,5.000
72713.351,297.060,354.739,133.871,0.009,-0.010,5.000
72717.383,297.061,354.739,133.711,-0.024,0.001,5.000
72717.383,297.058,354.659,133.551,0.009,0.001,5.000
72713.351,297.058,354.739,133.551,0.009,-0.010,5.000
72709.320,297.058,354.739,133.711,0.009,-0.010,5.000
72717.383,297.060,354.818,133.711,0.025,0.001,5.000
72721.414,297.058,354.739,133.871,-0.007,-0.010,5.000
72721.414,297.061,354.739,133.551,-0.056,-0.010,5.000
72713.351,297.060,354.897,133.871,0.009,-0.010,5.000
72717.383,297.061,354.897,133.711,-0.007,0.022,5.000
72725.445,297.060,354.976,133.551,0.025,-0.010,5.000
72721.414,297.061,354.739,133.711,0.009,0.011,5.000
72725.445,297.061,354.739,133.711,0.025,0.001,5.000
72725.445,297.058,354.739,133.711,-0.007,-0.010,5.000
72721.414,297.063,354.976,133.551,0.025,0.011,5.000
72729.477,297.060,354.818,133.871,0.009,0.001,5.000
72721.414,297.061,354.818,133.551,-0.007,0.001,5.000
72721.414,297.063,354.739,133.871,-0.007,0.022,5.000
72725.445,297.065,354.818,133.711,-0.007,0.011,5.000
72729.477,297.063,354.739,133.551,0.009,0.001,5.000
72721.414,297.065,354.818,133.551,0.025,-0.010,5.000
72717.383,297.066,354.739,133.871,0.009,0.022,5.000
72721.414,297.066,354.739,133.711,-0.007,0.001,5.000
